"method","pc","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80"
"SVC.c50",33,0.85,0.6,0.55,0.48,0.8,0.58,0.63,0.52,0.89,0.73,0.97,0.48,0.83,0.62,0.64,0.52,0.84,0.54,0.62,0.48,0.83,0.56,0.73,0.55,0.82,0.51,0.74,0.5,0.88,0.65,0.62,0.55,0.83,0.57,0.81,0.47,0.85,0.64,0.53,0.47,0.83,0.46,0.57,0.48,0.84,0.59,0.56,0.56,0.79,0.6,0.74,0.56,0.82,0.55,0.71,0.49,0.81,0.63,0.72,0.47,0.86,0.5,0.9,0.54,0.88,0.62,0.9,0.47,0.87,0.69,0.65,0.53,0.86,0.63,0.54,0.57,0.84,0.63,0.58,0.48
"SVC.c80",33,0.87,0.62,0.62,0.51,0.82,0.56,0.65,0.54,0.91,0.73,1,0.54,0.85,0.53,0.64,0.54,0.86,0.6,0.65,0.47,0.85,0.51,0.74,0.57,0.85,0.52,0.78,0.55,0.89,0.72,0.58,0.52,0.85,0.56,0.85,0.53,0.87,0.69,0.53,0.52,0.84,0.5,0.53,0.48,0.86,0.6,0.61,0.55,0.81,0.59,0.75,0.54,0.84,0.61,0.73,0.48,0.83,0.53,0.74,0.48,0.88,0.55,0.9,0.56,0.89,0.69,0.92,0.45,0.89,0.68,0.57,0.56,0.87,0.66,0.5,0.57,0.86,0.6,0.47,0.49
"SVC.c100",33,0.88,0.66,0.61,0.52,0.83,0.59,0.67,0.55,0.91,0.73,1,0.55,0.86,0.57,0.62,0.55,0.87,0.6,0.65,0.46,0.86,0.51,0.75,0.58,0.86,0.52,0.81,0.57,0.9,0.72,0.56,0.48,0.86,0.57,0.86,0.53,0.87,0.7,0.53,0.54,0.86,0.48,0.5,0.48,0.87,0.62,0.61,0.56,0.82,0.52,0.76,0.56,0.85,0.62,0.73,0.47,0.84,0.53,0.75,0.49,0.88,0.52,0.92,0.57,0.9,0.65,0.92,0.46,0.9,0.71,0.57,0.56,0.88,0.64,0.5,0.56,0.87,0.61,0.46,0.51
"RandomForest",33,1,0.63,0.69,0.5,1,0.54,0.52,0.5,1,0.73,1,0.51,1,0.59,0.62,0.5,1,0.62,0.56,0.52,1,0.59,0.57,0.52,1,0.6,0.52,0.5,1,0.62,0.71,0.5,1,0.58,0.5,0.5,1,0.68,0.73,0.51,1,0.61,0.4,0.5,1,0.56,0.48,0.51,1,0.49,0.58,0.53,1,0.61,0.58,0.51,1,0.54,0.51,0.54,1,0.59,0.46,0.51,1,0.62,0.63,0.52,1,0.71,0.87,0.51,1,0.53,0.46,0.51,1,0.65,0.75,0.54
"Logistic",37,1,0.52,0.58,0.58,1,0.54,0.69,0.57,1,0.62,0.73,0.66,1,0.48,0.64,0.62,1,0.56,0.65,0.68,1,0.52,0.62,0.54,1,0.55,0.73,0.54,1,0.51,0.52,0.62,1,0.55,0.78,0.55,1,0.56,0.54,0.63,1,0.64,0.61,0.61,1,0.6,0.54,0.61,1,0.54,0.63,0.55,1,0.54,0.57,0.56,1,0.49,0.6,0.57,1,0.53,0.71,0.51,1,0.65,0.83,0.63,1,0.57,0.69,0.69,1,0.54,0.55,0.56,1,0.57,0.59,0.52
"SVC.c5",37,0.8,0.59,0.57,0.5,0.79,0.72,0.57,0.47,0.87,0.67,0.94,0.49,0.83,0.65,0.61,0.47,0.83,0.63,0.6,0.47,0.85,0.61,0.72,0.47,0.82,0.56,0.75,0.49,0.86,0.63,0.61,0.47,0.82,0.73,0.87,0.48,0.81,0.53,0.66,0.5,0.82,0.61,0.43,0.48,0.83,0.65,0.53,0.49,0.77,0.73,0.69,0.47,0.83,0.7,0.55,0.5,0.79,0.79,0.67,0.49,0.86,0.53,0.9,0.53,0.85,0.59,0.84,0.49,0.83,0.49,0.76,0.5,0.84,0.53,0.49,0.48,0.82,0.64,0.44,0.48
"SVC.c10",37,0.8,0.72,0.57,0.5,0.79,0.7,0.57,0.47,0.87,0.68,0.94,0.49,0.83,0.73,0.61,0.47,0.83,0.54,0.6,0.47,0.85,0.61,0.72,0.47,0.81,0.68,0.75,0.49,0.86,0.55,0.61,0.47,0.82,0.71,0.87,0.47,0.81,0.57,0.66,0.5,0.82,0.69,0.43,0.48,0.83,0.64,0.53,0.49,0.77,0.73,0.69,0.47,0.83,0.54,0.55,0.5,0.79,0.78,0.67,0.49,0.86,0.59,0.9,0.53,0.85,0.6,0.84,0.49,0.83,0.47,0.76,0.5,0.84,0.67,0.49,0.48,0.82,0.57,0.44,0.48
"SVC.c30",37,0.82,0.6,0.51,0.47,0.81,0.59,0.62,0.47,0.88,0.68,0.93,0.49,0.83,0.69,0.61,0.46,0.85,0.56,0.62,0.47,0.85,0.55,0.73,0.47,0.82,0.62,0.76,0.49,0.87,0.63,0.59,0.47,0.82,0.59,0.87,0.47,0.85,0.62,0.51,0.47,0.82,0.59,0.44,0.48,0.84,0.48,0.56,0.51,0.78,0.67,0.69,0.47,0.84,0.51,0.55,0.49,0.81,0.64,0.69,0.47,0.86,0.49,0.9,0.53,0.85,0.44,0.84,0.49,0.85,0.63,0.69,0.49,0.86,0.61,0.48,0.55,0.83,0.57,0.46,0.47
"SVC.c50",37,0.85,0.57,0.63,0.47,0.83,0.6,0.64,0.53,0.9,0.7,0.96,0.48,0.84,0.54,0.62,0.47,0.87,0.52,0.63,0.48,0.85,0.59,0.73,0.54,0.84,0.5,0.8,0.56,0.89,0.66,0.58,0.5,0.82,0.58,0.92,0.48,0.87,0.6,0.53,0.46,0.84,0.55,0.48,0.5,0.85,0.61,0.57,0.54,0.8,0.63,0.73,0.51,0.86,0.54,0.62,0.49,0.84,0.51,0.65,0.46,0.87,0.61,0.91,0.54,0.87,0.6,0.95,0.46,0.87,0.62,0.59,0.49,0.87,0.65,0.48,0.57,0.84,0.52,0.47,0.48
"SVC.c80",37,0.87,0.53,0.65,0.56,0.84,0.56,0.64,0.58,0.91,0.72,1,0.57,0.85,0.54,0.63,0.55,0.88,0.54,0.64,0.57,0.86,0.63,0.73,0.57,0.84,0.56,0.81,0.49,0.9,0.69,0.56,0.55,0.82,0.57,0.93,0.47,0.88,0.61,0.52,0.54,0.85,0.55,0.51,0.53,0.87,0.58,0.58,0.57,0.81,0.68,0.73,0.49,0.87,0.56,0.66,0.54,0.85,0.58,0.66,0.45,0.88,0.64,0.94,0.49,0.89,0.64,0.99,0.43,0.89,0.6,0.55,0.55,0.88,0.63,0.49,0.58,0.86,0.47,0.48,0.52
"SVC.c100",37,0.88,0.55,0.65,0.57,0.85,0.59,0.64,0.58,0.92,0.72,1,0.58,0.86,0.55,0.62,0.57,0.89,0.52,0.65,0.58,0.88,0.6,0.74,0.58,0.85,0.56,0.81,0.49,0.91,0.72,0.56,0.55,0.83,0.55,0.93,0.52,0.89,0.6,0.51,0.57,0.86,0.56,0.51,0.56,0.88,0.57,0.58,0.58,0.83,0.6,0.74,0.48,0.88,0.57,0.67,0.51,0.86,0.6,0.67,0.44,0.89,0.64,0.95,0.54,0.9,0.6,0.99,0.44,0.9,0.64,0.56,0.56,0.89,0.61,0.49,0.58,0.88,0.53,0.48,0.53
"RandomForest",37,1,0.62,0.7,0.5,1,0.54,0.52,0.5,1,0.72,1,0.51,1,0.57,0.65,0.51,1,0.6,0.52,0.51,1,0.6,0.6,0.51,1,0.62,0.55,0.51,1,0.61,0.68,0.5,1,0.59,0.52,0.5,1,0.67,0.76,0.51,1,0.61,0.4,0.5,1,0.58,0.46,0.51,1,0.51,0.58,0.53,1,0.6,0.63,0.5,1,0.52,0.52,0.53,1,0.58,0.48,0.5,1,0.61,0.65,0.51,1,0.69,0.88,0.51,1,0.44,0.45,0.51,1,0.63,0.74,0.53
"Logistic",41,1,0.48,0.56,0.52,1,0.59,0.61,0.53,1,0.79,0.82,0.48,1,0.58,0.56,0.51,1,0.49,0.6,0.58,1,0.58,0.63,0.57,1,0.55,0.66,0.58,1,0.56,0.51,0.53,1,0.51,0.74,0.58,1,0.76,0.54,0.53,1,0.55,0.59,0.58,1,0.5,0.55,0.53,1,0.48,0.63,0.52,1,0.51,0.54,0.53,1,0.45,0.62,0.54,1,0.59,0.72,0.57,1,0.62,0.8,0.51,1,0.65,0.63,0.49,1,0.56,0.58,0.56,1,0.52,0.64,0.59
"SVC.c5",41,0.81,0.68,0.55,0.49,0.79,0.7,0.57,0.49,0.87,0.62,0.95,0.49,0.83,0.67,0.54,0.53,0.84,0.63,0.64,0.47,0.83,0.65,0.7,0.53,0.82,0.59,0.77,0.48,0.85,0.6,0.57,0.54,0.82,0.73,0.86,0.46,0.82,0.52,0.55,0.49,0.83,0.65,0.43,0.48,0.81,0.63,0.5,0.55,0.78,0.73,0.66,0.48,0.82,0.79,0.6,0.5,0.78,0.79,0.68,0.48,0.84,0.73,0.92,0.49,0.85,0.69,0.79,0.49,0.84,0.51,0.62,0.49,0.82,0.53,0.5,0.53,0.82,0.63,0.41,0.48
"SVC.c10",41,0.81,0.77,0.55,0.49,0.79,0.7,0.57,0.49,0.87,0.63,0.95,0.49,0.83,0.78,0.54,0.53,0.84,0.56,0.64,0.47,0.83,0.71,0.7,0.53,0.82,0.74,0.77,0.48,0.85,0.58,0.57,0.54,0.82,0.8,0.86,0.46,0.82,0.49,0.55,0.49,0.83,0.7,0.43,0.48,0.81,0.64,0.5,0.55,0.78,0.72,0.66,0.48,0.82,0.62,0.6,0.5,0.78,0.82,0.68,0.48,0.84,0.72,0.92,0.49,0.85,0.67,0.79,0.49,0.84,0.52,0.62,0.49,0.82,0.64,0.5,0.53,0.82,0.56,0.41,0.48
"SVC.c30",41,0.83,0.53,0.57,0.47,0.81,0.63,0.6,0.52,0.88,0.63,0.96,0.51,0.83,0.71,0.55,0.54,0.86,0.57,0.63,0.46,0.84,0.58,0.71,0.52,0.82,0.66,0.78,0.48,0.88,0.62,0.56,0.53,0.82,0.65,0.87,0.46,0.85,0.61,0.48,0.48,0.84,0.59,0.46,0.48,0.83,0.51,0.51,0.55,0.8,0.76,0.68,0.47,0.84,0.53,0.6,0.5,0.81,0.73,0.65,0.47,0.85,0.62,0.92,0.49,0.85,0.71,0.8,0.49,0.85,0.59,0.56,0.52,0.85,0.57,0.5,0.54,0.83,0.53,0.45,0.48
"SVC.c50",41,0.86,0.53,0.61,0.45,0.82,0.67,0.61,0.56,0.9,0.63,0.98,0.48,0.85,0.61,0.59,0.53,0.87,0.52,0.59,0.46,0.85,0.47,0.72,0.54,0.84,0.56,0.77,0.49,0.88,0.61,0.56,0.51,0.82,0.72,0.91,0.47,0.87,0.57,0.48,0.51,0.85,0.62,0.47,0.48,0.84,0.54,0.54,0.53,0.81,0.76,0.7,0.46,0.86,0.5,0.59,0.47,0.82,0.59,0.62,0.46,0.86,0.52,0.91,0.54,0.87,0.51,0.87,0.47,0.87,0.6,0.55,0.54,0.87,0.57,0.49,0.46,0.84,0.55,0.47,0.53
"SVC.c80",41,0.87,0.5,0.61,0.47,0.84,0.62,0.63,0.58,0.91,0.65,1,0.56,0.86,0.45,0.55,0.55,0.89,0.54,0.59,0.53,0.87,0.5,0.72,0.55,0.85,0.6,0.78,0.5,0.9,0.64,0.54,0.47,0.83,0.75,0.91,0.46,0.88,0.58,0.48,0.47,0.86,0.68,0.48,0.54,0.87,0.55,0.53,0.49,0.82,0.85,0.72,0.48,0.87,0.54,0.6,0.48,0.85,0.54,0.67,0.45,0.88,0.55,0.9,0.49,0.89,0.62,0.88,0.45,0.89,0.56,0.55,0.57,0.88,0.56,0.5,0.47,0.87,0.59,0.49,0.53
"SVC.c100",41,0.88,0.53,0.6,0.55,0.85,0.68,0.63,0.58,0.92,0.65,1,0.58,0.87,0.54,0.52,0.51,0.89,0.49,0.59,0.53,0.88,0.53,0.74,0.56,0.85,0.56,0.77,0.5,0.9,0.66,0.54,0.48,0.84,0.75,0.9,0.48,0.88,0.57,0.48,0.47,0.87,0.74,0.49,0.56,0.88,0.5,0.55,0.48,0.83,0.7,0.71,0.51,0.88,0.47,0.64,0.48,0.86,0.56,0.68,0.45,0.89,0.51,0.92,0.53,0.9,0.58,0.88,0.45,0.9,0.57,0.56,0.57,0.89,0.52,0.48,0.47,0.87,0.59,0.5,0.54
"RandomForest",41,1,0.65,0.67,0.5,1,0.57,0.51,0.5,1,0.75,1,0.51,1,0.6,0.66,0.51,1,0.65,0.51,0.51,1,0.63,0.59,0.51,1,0.62,0.52,0.51,1,0.63,0.67,0.5,1,0.61,0.5,0.5,1,0.69,0.73,0.51,1,0.65,0.41,0.51,1,0.58,0.49,0.51,1,0.51,0.58,0.53,1,0.62,0.57,0.51,1,0.56,0.53,0.52,1,0.6,0.54,0.5,1,0.62,0.66,0.51,1,0.72,0.88,0.5,1,0.6,0.57,0.51,1,0.66,0.73,0.53
"Logistic",45,1,0.54,0.57,0.59,1,0.59,0.56,0.52,1,0.64,0.7,0.57,1,0.51,0.58,0.59,1,0.51,0.59,0.64,1,0.49,0.58,0.55,1,0.47,0.77,0.53,1,0.56,0.55,0.54,1,0.53,0.69,0.53,1,0.6,0.54,0.61,1,0.48,0.6,0.57,1,0.59,0.54,0.58,1,0.5,0.71,0.53,1,0.55,0.55,0.53,1,0.61,0.57,0.58,1,0.54,0.78,0.55,1,0.5,0.8,0.55,1,0.52,0.55,0.56,1,0.58,0.6,0.57,1,0.54,0.61,0.53
"SVC.c5",45,0.81,0.74,0.55,0.5,0.79,0.72,0.58,0.47,0.87,0.61,0.93,0.47,0.83,0.81,0.56,0.49,0.84,0.66,0.65,0.46,0.83,0.68,0.72,0.46,0.82,0.67,0.75,0.53,0.85,0.48,0.57,0.46,0.82,0.71,0.8,0.53,0.82,0.56,0.59,0.49,0.83,0.75,0.45,0.52,0.82,0.69,0.51,0.52,0.78,0.7,0.67,0.47,0.82,0.84,0.57,0.5,0.79,0.78,0.63,0.49,0.85,0.8,0.89,0.47,0.86,0.73,0.62,0.49,0.84,0.55,0.7,0.48,0.82,0.63,0.51,0.48,0.82,0.7,0.4,0.47
"SVC.c10",45,0.81,0.82,0.55,0.5,0.79,0.74,0.58,0.47,0.87,0.61,0.93,0.47,0.83,0.83,0.56,0.49,0.84,0.64,0.65,0.46,0.83,0.75,0.72,0.46,0.82,0.79,0.75,0.53,0.85,0.52,0.57,0.46,0.82,0.76,0.8,0.53,0.82,0.54,0.6,0.49,0.83,0.8,0.45,0.52,0.82,0.73,0.51,0.52,0.78,0.67,0.67,0.47,0.82,0.69,0.57,0.5,0.79,0.76,0.63,0.49,0.85,0.79,0.89,0.47,0.86,0.67,0.62,0.49,0.84,0.56,0.7,0.48,0.82,0.74,0.51,0.48,0.82,0.55,0.4,0.47
"SVC.c30",45,0.84,0.5,0.51,0.54,0.81,0.73,0.61,0.46,0.88,0.58,0.93,0.47,0.83,0.82,0.56,0.49,0.86,0.48,0.64,0.45,0.84,0.7,0.73,0.46,0.82,0.85,0.76,0.53,0.87,0.55,0.55,0.45,0.82,0.67,0.8,0.53,0.86,0.6,0.53,0.45,0.84,0.66,0.45,0.53,0.84,0.61,0.54,0.49,0.79,0.81,0.68,0.46,0.85,0.65,0.58,0.5,0.82,0.81,0.65,0.47,0.85,0.73,0.89,0.47,0.87,0.8,0.61,0.49,0.85,0.55,0.64,0.48,0.85,0.52,0.53,0.46,0.84,0.5,0.44,0.45
"SVC.c50",45,0.86,0.5,0.52,0.5,0.83,0.7,0.62,0.5,0.9,0.61,0.97,0.46,0.85,0.75,0.58,0.49,0.87,0.63,0.63,0.45,0.86,0.62,0.72,0.5,0.84,0.74,0.76,0.58,0.89,0.6,0.54,0.45,0.83,0.76,0.82,0.55,0.88,0.61,0.48,0.45,0.85,0.78,0.46,0.53,0.85,0.55,0.56,0.47,0.81,0.8,0.7,0.45,0.86,0.59,0.6,0.48,0.84,0.67,0.64,0.46,0.87,0.63,0.89,0.55,0.89,0.54,0.76,0.47,0.87,0.53,0.59,0.55,0.87,0.54,0.52,0.47,0.86,0.44,0.45,0.44
"SVC.c80",45,0.88,0.62,0.5,0.59,0.85,0.71,0.63,0.58,0.91,0.61,1,0.57,0.87,0.71,0.56,0.48,0.89,0.54,0.62,0.56,0.87,0.56,0.72,0.56,0.86,0.76,0.75,0.61,0.9,0.57,0.53,0.47,0.85,0.82,0.78,0.51,0.9,0.6,0.49,0.49,0.86,0.76,0.47,0.57,0.87,0.55,0.56,0.46,0.83,0.83,0.73,0.48,0.88,0.58,0.61,0.52,0.86,0.66,0.65,0.47,0.89,0.5,0.94,0.53,0.9,0.55,0.84,0.44,0.89,0.48,0.57,0.59,0.88,0.51,0.5,0.46,0.87,0.59,0.46,0.44
"SVC.c100",45,0.9,0.67,0.49,0.6,0.86,0.73,0.63,0.59,0.92,0.58,1,0.58,0.87,0.73,0.54,0.47,0.9,0.48,0.61,0.58,0.88,0.63,0.72,0.55,0.86,0.73,0.72,0.61,0.91,0.55,0.52,0.47,0.85,0.78,0.77,0.51,0.9,0.59,0.49,0.58,0.87,0.82,0.49,0.59,0.88,0.66,0.57,0.47,0.84,0.65,0.73,0.53,0.89,0.68,0.62,0.54,0.87,0.64,0.65,0.48,0.89,0.59,0.94,0.48,0.91,0.51,0.86,0.43,0.9,0.53,0.59,0.6,0.89,0.57,0.5,0.48,0.88,0.56,0.47,0.46
"RandomForest",45,1,0.63,0.67,0.5,1,0.55,0.52,0.5,1,0.72,1,0.51,1,0.59,0.69,0.5,1,0.63,0.57,0.51,1,0.6,0.61,0.51,1,0.6,0.54,0.5,1,0.62,0.69,0.5,1,0.58,0.51,0.5,1,0.69,0.74,0.5,1,0.62,0.41,0.51,1,0.57,0.49,0.51,1,0.5,0.58,0.53,1,0.62,0.61,0.52,1,0.53,0.52,0.53,1,0.6,0.52,0.51,1,0.61,0.68,0.52,1,0.71,0.88,0.5,1,0.58,0.6,0.5,1,0.65,0.74,0.53
"Logistic",49,1,0.59,0.63,0.56,1,0.51,0.47,0.53,1,0.56,0.62,0.57,1,0.57,0.6,0.54,1,0.53,0.53,0.61,1,0.61,0.67,0.55,1,0.5,0.71,0.54,1,0.55,0.58,0.52,1,0.54,0.57,0.61,1,0.55,0.56,0.55,1,0.48,0.7,0.56,1,0.43,0.56,0.55,1,0.52,0.6,0.58,1,0.54,0.58,0.55,1,0.56,0.58,0.55,1,0.52,0.68,0.54,1,0.47,0.64,0.63,1,0.49,0.57,0.56,1,0.48,0.59,0.54,1,0.48,0.61,0.54
"SVC.c5",49,0.81,0.74,0.57,0.51,0.79,0.71,0.64,0.49,0.87,0.6,0.91,0.48,0.84,0.85,0.59,0.52,0.84,0.68,0.65,0.47,0.85,0.63,0.75,0.46,0.82,0.69,0.8,0.49,0.85,0.52,0.53,0.47,0.82,0.67,0.86,0.51,0.82,0.56,0.6,0.5,0.82,0.74,0.44,0.51,0.8,0.71,0.57,0.52,0.77,0.64,0.68,0.48,0.84,0.85,0.6,0.52,0.8,0.79,0.62,0.52,0.87,0.83,0.93,0.46,0.86,0.75,0.8,0.5,0.83,0.58,0.72,0.5,0.83,0.65,0.53,0.47,0.82,0.76,0.46,0.48
"SVC.c10",49,0.81,0.8,0.57,0.51,0.79,0.77,0.64,0.49,0.88,0.6,0.91,0.48,0.84,0.82,0.59,0.52,0.84,0.66,0.65,0.47,0.85,0.74,0.75,0.46,0.82,0.78,0.8,0.48,0.85,0.58,0.53,0.47,0.82,0.78,0.86,0.51,0.82,0.47,0.59,0.5,0.82,0.84,0.44,0.51,0.8,0.75,0.57,0.52,0.77,0.63,0.68,0.48,0.84,0.71,0.6,0.52,0.8,0.81,0.62,0.52,0.87,0.77,0.93,0.46,0.86,0.71,0.8,0.5,0.84,0.59,0.72,0.5,0.83,0.77,0.53,0.47,0.82,0.56,0.46,0.48
"SVC.c30",49,0.85,0.54,0.51,0.52,0.83,0.74,0.69,0.47,0.89,0.58,0.89,0.5,0.84,0.81,0.59,0.5,0.85,0.49,0.68,0.46,0.86,0.58,0.75,0.45,0.83,0.86,0.83,0.47,0.88,0.52,0.5,0.45,0.83,0.68,0.88,0.51,0.87,0.56,0.53,0.46,0.83,0.68,0.45,0.51,0.83,0.64,0.59,0.47,0.81,0.79,0.68,0.46,0.86,0.53,0.69,0.5,0.85,0.66,0.68,0.48,0.88,0.61,0.93,0.46,0.87,0.68,0.87,0.49,0.86,0.53,0.57,0.54,0.86,0.48,0.57,0.45,0.85,0.5,0.51,0.46
"SVC.c50",49,0.87,0.56,0.55,0.53,0.86,0.71,0.7,0.45,0.91,0.59,0.95,0.46,0.86,0.71,0.61,0.45,0.87,0.58,0.67,0.45,0.88,0.51,0.75,0.46,0.85,0.77,0.86,0.45,0.89,0.57,0.5,0.46,0.85,0.78,0.91,0.45,0.88,0.6,0.54,0.45,0.85,0.81,0.51,0.48,0.86,0.58,0.61,0.46,0.84,0.78,0.72,0.46,0.89,0.47,0.71,0.47,0.88,0.55,0.65,0.47,0.9,0.53,0.94,0.47,0.9,0.54,0.89,0.48,0.87,0.54,0.53,0.56,0.87,0.51,0.56,0.45,0.86,0.57,0.53,0.45
"SVC.c80",49,0.89,0.67,0.55,0.54,0.88,0.7,0.7,0.45,0.92,0.58,0.99,0.45,0.88,0.74,0.62,0.44,0.89,0.6,0.64,0.46,0.9,0.56,0.74,0.48,0.87,0.77,0.84,0.45,0.91,0.55,0.52,0.47,0.87,0.78,0.92,0.45,0.9,0.59,0.51,0.45,0.86,0.81,0.6,0.49,0.88,0.62,0.64,0.46,0.86,0.79,0.73,0.48,0.91,0.56,0.7,0.47,0.9,0.59,0.65,0.49,0.92,0.55,0.94,0.48,0.91,0.51,0.91,0.45,0.9,0.53,0.53,0.58,0.9,0.5,0.55,0.46,0.88,0.6,0.55,0.45
"SVC.c100",49,0.9,0.66,0.54,0.56,0.9,0.7,0.7,0.45,0.92,0.54,0.99,0.46,0.89,0.73,0.61,0.45,0.9,0.49,0.62,0.46,0.91,0.58,0.73,0.49,0.88,0.66,0.84,0.45,0.91,0.5,0.53,0.47,0.88,0.78,0.9,0.45,0.91,0.59,0.51,0.46,0.87,0.79,0.6,0.55,0.9,0.75,0.64,0.47,0.87,0.7,0.73,0.49,0.91,0.59,0.7,0.47,0.91,0.62,0.64,0.5,0.92,0.57,0.93,0.49,0.92,0.6,0.9,0.45,0.91,0.57,0.54,0.58,0.91,0.63,0.54,0.46,0.88,0.62,0.53,0.45
