"method","pc","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80"
"RandomForest",49,1,0.61,0.67,0.5,1,0.54,0.53,0.51,1,0.73,1,0.5,1,0.58,0.69,0.51,1,0.62,0.55,0.5,1,0.62,0.59,0.52,1,0.59,0.5,0.5,1,0.62,0.68,0.51,1,0.59,0.5,0.5,1,0.68,0.71,0.5,1,0.6,0.44,0.5,1,0.54,0.5,0.52,1,0.48,0.59,0.54,1,0.63,0.57,0.52,1,0.52,0.51,0.54,1,0.6,0.51,0.51,1,0.59,0.7,0.53,1,0.7,0.88,0.51,1,0.61,0.55,0.5,1,0.61,0.75,0.53
"Logistic",53,1,0.51,0.62,0.54,1,0.52,0.66,0.53,1,0.56,0.56,0.54,1,0.54,0.59,0.56,1,0.51,0.57,0.57,1,0.58,0.59,0.53,1,0.62,0.67,0.52,1,0.52,0.59,0.55,1,0.59,0.65,0.55,1,0.49,0.64,0.61,1,0.54,0.72,0.53,1,0.55,0.51,0.54,1,0.76,0.4,0.52,1,0.63,0.64,0.61,1,0.57,0.56,0.53,1,0.61,0.6,0.55,1,0.48,0.63,0.56,1,0.48,0.61,0.54,1,0.54,0.65,0.54,1,0.56,0.68,0.51
"SVC.c5",53,0.81,0.77,0.58,0.51,0.8,0.69,0.64,0.5,0.87,0.56,0.92,0.48,0.85,0.88,0.6,0.46,0.85,0.72,0.63,0.48,0.85,0.7,0.71,0.48,0.82,0.69,0.86,0.48,0.87,0.56,0.55,0.48,0.83,0.64,0.9,0.48,0.82,0.61,0.63,0.5,0.82,0.78,0.56,0.48,0.82,0.75,0.58,0.48,0.79,0.65,0.67,0.48,0.84,0.89,0.63,0.52,0.81,0.76,0.64,0.52,0.88,0.83,0.96,0.47,0.87,0.8,0.64,0.5,0.83,0.64,0.71,0.49,0.84,0.68,0.54,0.48,0.82,0.81,0.49,0.48
"SVC.c10",53,0.81,0.84,0.58,0.51,0.8,0.82,0.64,0.5,0.87,0.57,0.92,0.48,0.85,0.84,0.6,0.46,0.85,0.73,0.63,0.48,0.85,0.82,0.71,0.48,0.82,0.76,0.86,0.48,0.87,0.62,0.56,0.48,0.83,0.7,0.9,0.48,0.82,0.63,0.62,0.5,0.82,0.88,0.56,0.48,0.82,0.81,0.58,0.48,0.79,0.62,0.67,0.48,0.84,0.68,0.63,0.52,0.81,0.82,0.64,0.52,0.88,0.79,0.96,0.47,0.87,0.72,0.64,0.5,0.83,0.65,0.71,0.49,0.84,0.84,0.54,0.48,0.82,0.57,0.49,0.48
"SVC.c30",53,0.85,0.68,0.52,0.53,0.82,0.77,0.65,0.5,0.89,0.57,0.91,0.47,0.86,0.82,0.61,0.46,0.87,0.59,0.65,0.48,0.86,0.65,0.69,0.47,0.84,0.91,0.88,0.48,0.89,0.48,0.49,0.46,0.83,0.66,0.92,0.48,0.87,0.53,0.54,0.47,0.83,0.75,0.56,0.49,0.84,0.71,0.58,0.47,0.82,0.8,0.67,0.48,0.86,0.59,0.68,0.5,0.85,0.73,0.66,0.5,0.88,0.67,0.96,0.47,0.88,0.77,0.71,0.49,0.86,0.48,0.57,0.52,0.87,0.55,0.57,0.48,0.84,0.6,0.53,0.47
"SVC.c50",53,0.88,0.67,0.56,0.54,0.86,0.8,0.62,0.49,0.91,0.58,0.94,0.45,0.89,0.7,0.62,0.45,0.88,0.66,0.66,0.47,0.88,0.58,0.67,0.48,0.86,0.8,0.87,0.46,0.9,0.53,0.48,0.46,0.84,0.79,0.95,0.47,0.89,0.58,0.54,0.46,0.85,0.84,0.59,0.48,0.86,0.69,0.6,0.47,0.84,0.76,0.67,0.49,0.88,0.57,0.67,0.49,0.87,0.66,0.64,0.5,0.91,0.52,0.92,0.47,0.9,0.59,0.79,0.48,0.86,0.55,0.53,0.55,0.89,0.52,0.56,0.47,0.85,0.67,0.54,0.46
"SVC.c80",53,0.9,0.85,0.58,0.56,0.89,0.84,0.61,0.49,0.93,0.55,0.98,0.45,0.9,0.62,0.61,0.52,0.9,0.55,0.64,0.46,0.91,0.63,0.68,0.5,0.88,0.85,0.86,0.49,0.93,0.55,0.47,0.47,0.87,0.76,0.96,0.48,0.91,0.5,0.55,0.45,0.87,0.83,0.61,0.48,0.89,0.69,0.6,0.48,0.86,0.74,0.67,0.51,0.91,0.64,0.67,0.5,0.89,0.66,0.65,0.52,0.93,0.56,0.9,0.48,0.93,0.51,0.83,0.46,0.88,0.62,0.52,0.49,0.91,0.49,0.57,0.49,0.88,0.74,0.57,0.46
"SVC.c100",53,0.91,0.82,0.57,0.57,0.9,0.79,0.61,0.5,0.93,0.49,0.99,0.44,0.91,0.55,0.6,0.51,0.91,0.55,0.64,0.46,0.92,0.66,0.69,0.51,0.89,0.65,0.85,0.54,0.94,0.54,0.46,0.47,0.87,0.66,0.97,0.52,0.91,0.53,0.55,0.46,0.88,0.77,0.63,0.48,0.9,0.72,0.6,0.5,0.88,0.66,0.67,0.52,0.91,0.71,0.68,0.51,0.9,0.72,0.65,0.53,0.93,0.61,0.9,0.49,0.94,0.63,0.77,0.46,0.9,0.66,0.52,0.49,0.92,0.56,0.57,0.5,0.89,0.78,0.58,0.45
"RandomForest",53,1,0.63,0.66,0.5,1,0.53,0.55,0.51,1,0.71,1,0.5,1,0.54,0.62,0.51,1,0.6,0.55,0.5,1,0.6,0.57,0.51,1,0.58,0.49,0.51,1,0.6,0.67,0.51,1,0.58,0.47,0.5,1,0.65,0.71,0.5,1,0.59,0.43,0.51,1,0.53,0.5,0.51,1,0.49,0.61,0.54,1,0.6,0.6,0.51,1,0.52,0.52,0.53,1,0.6,0.52,0.51,1,0.59,0.69,0.52,1,0.68,0.87,0.5,1,0.58,0.51,0.51,1,0.61,0.75,0.53
"Logistic",57,1,0.53,0.61,0.57,1,0.57,0.58,0.56,1,0.55,0.61,0.55,1,0.62,0.56,0.56,1,0.6,0.6,0.53,1,0.59,0.61,0.57,1,0.63,0.57,0.56,1,0.5,0.55,0.54,1,0.54,0.56,0.55,1,0.53,0.57,0.53,1,0.54,0.68,0.56,1,0.74,0.56,0.6,1,0.59,0.58,0.52,1,0.59,0.56,0.6,1,0.67,0.55,0.56,1,0.6,0.59,0.56,1,0.53,0.65,0.59,1,0.63,0.61,0.56,1,0.61,0.6,0.55,1,0.53,0.67,0.52
"SVC.c5",57,0.84,0.69,0.6,0.5,0.82,0.71,0.68,0.5,0.89,0.51,0.91,0.51,0.86,0.84,0.65,0.48,0.85,0.74,0.67,0.49,0.86,0.67,0.77,0.49,0.84,0.67,0.85,0.52,0.88,0.56,0.5,0.5,0.86,0.72,0.72,0.47,0.82,0.64,0.57,0.5,0.86,0.77,0.51,0.51,0.85,0.68,0.57,0.51,0.82,0.69,0.73,0.5,0.86,0.87,0.68,0.52,0.83,0.71,0.72,0.52,0.88,0.85,0.88,0.52,0.87,0.73,0.74,0.49,0.85,0.63,0.62,0.5,0.85,0.7,0.57,0.49,0.85,0.78,0.52,0.51
"SVC.c10",57,0.84,0.72,0.59,0.5,0.82,0.81,0.68,0.5,0.89,0.51,0.91,0.51,0.86,0.82,0.65,0.48,0.85,0.73,0.67,0.49,0.86,0.79,0.77,0.48,0.84,0.76,0.85,0.52,0.88,0.58,0.5,0.5,0.86,0.77,0.72,0.47,0.83,0.59,0.55,0.5,0.86,0.78,0.51,0.51,0.85,0.72,0.57,0.51,0.82,0.69,0.73,0.5,0.86,0.68,0.68,0.52,0.83,0.77,0.72,0.52,0.88,0.76,0.88,0.52,0.87,0.72,0.74,0.49,0.86,0.58,0.62,0.5,0.85,0.84,0.57,0.49,0.85,0.62,0.52,0.51
"SVC.c30",57,0.89,0.57,0.55,0.48,0.85,0.85,0.67,0.49,0.91,0.52,0.92,0.48,0.88,0.8,0.61,0.48,0.87,0.65,0.72,0.49,0.88,0.71,0.76,0.47,0.86,0.92,0.85,0.53,0.9,0.52,0.5,0.47,0.88,0.71,0.7,0.47,0.88,0.5,0.55,0.49,0.88,0.64,0.57,0.49,0.9,0.6,0.59,0.48,0.85,0.8,0.72,0.5,0.88,0.65,0.76,0.52,0.87,0.77,0.76,0.5,0.89,0.66,0.92,0.48,0.89,0.67,0.81,0.48,0.89,0.47,0.52,0.54,0.88,0.73,0.59,0.48,0.88,0.62,0.54,0.51
"SVC.c50",57,0.92,0.57,0.54,0.47,0.89,0.83,0.67,0.48,0.93,0.54,0.95,0.45,0.9,0.69,0.59,0.46,0.89,0.78,0.73,0.47,0.9,0.81,0.75,0.48,0.88,0.78,0.85,0.48,0.92,0.54,0.51,0.46,0.9,0.79,0.61,0.46,0.9,0.49,0.59,0.47,0.9,0.75,0.57,0.48,0.91,0.62,0.59,0.48,0.88,0.71,0.71,0.5,0.91,0.72,0.76,0.51,0.9,0.68,0.76,0.5,0.92,0.67,0.92,0.48,0.92,0.64,0.93,0.47,0.91,0.49,0.51,0.53,0.9,0.76,0.6,0.48,0.9,0.68,0.57,0.48
"SVC.c80",57,0.94,0.62,0.56,0.46,0.91,0.83,0.7,0.48,0.94,0.52,0.98,0.44,0.92,0.8,0.59,0.46,0.91,0.6,0.73,0.47,0.92,0.77,0.73,0.5,0.9,0.77,0.84,0.47,0.94,0.49,0.51,0.46,0.92,0.87,0.54,0.43,0.92,0.51,0.62,0.47,0.92,0.79,0.59,0.48,0.94,0.54,0.58,0.48,0.91,0.73,0.72,0.5,0.93,0.7,0.76,0.5,0.92,0.66,0.76,0.51,0.95,0.67,0.89,0.48,0.95,0.63,0.96,0.47,0.92,0.57,0.5,0.54,0.92,0.63,0.6,0.49,0.92,0.75,0.59,0.47
"SVC.c100",57,0.95,0.67,0.57,0.46,0.92,0.78,0.71,0.48,0.95,0.45,0.98,0.46,0.93,0.66,0.58,0.46,0.92,0.7,0.69,0.47,0.93,0.79,0.73,0.5,0.91,0.58,0.84,0.46,0.95,0.51,0.51,0.47,0.92,0.79,0.53,0.43,0.93,0.55,0.61,0.48,0.94,0.8,0.59,0.47,0.95,0.55,0.57,0.49,0.93,0.69,0.72,0.5,0.94,0.73,0.75,0.51,0.93,0.78,0.77,0.52,0.95,0.77,0.88,0.48,0.96,0.73,0.96,0.47,0.93,0.66,0.51,0.53,0.92,0.8,0.6,0.49,0.93,0.73,0.61,0.48
"RandomForest",57,1,0.61,0.68,0.5,1,0.51,0.55,0.51,1,0.72,0.97,0.51,1,0.54,0.63,0.51,1,0.62,0.55,0.51,1,0.62,0.55,0.51,1,0.61,0.58,0.51,1,0.58,0.67,0.51,1,0.58,0.53,0.51,1,0.66,0.72,0.51,1,0.61,0.41,0.51,1,0.52,0.51,0.52,1,0.47,0.57,0.54,1,0.6,0.57,0.51,1,0.53,0.54,0.52,1,0.59,0.53,0.5,1,0.6,0.64,0.51,1,0.68,0.85,0.51,1,0.59,0.51,0.5,1,0.64,0.75,0.53
"Logistic",61,1,0.53,0.61,0.57,1,0.57,0.58,0.56,1,0.55,0.61,0.55,1,0.62,0.56,0.56,1,0.6,0.6,0.53,1,0.59,0.61,0.57,1,0.63,0.57,0.56,1,0.5,0.55,0.54,1,0.54,0.56,0.55,1,0.53,0.57,0.53,1,0.54,0.68,0.56,1,0.74,0.56,0.6,1,0.59,0.58,0.52,1,0.59,0.56,0.6,1,0.67,0.55,0.56,1,0.6,0.59,0.56,1,0.53,0.65,0.59,1,0.63,0.61,0.56,1,0.61,0.6,0.55,1,0.53,0.67,0.52
"SVC.c5",61,0.85,0.7,0.57,0.51,0.82,0.69,0.64,0.5,0.89,0.54,0.99,0.53,0.87,0.8,0.61,0.55,0.86,0.77,0.75,0.5,0.88,0.67,0.73,0.51,0.84,0.71,0.8,0.51,0.87,0.6,0.52,0.52,0.87,0.68,0.51,0.53,0.84,0.64,0.58,0.5,0.87,0.79,0.5,0.5,0.87,0.68,0.53,0.51,0.84,0.69,0.7,0.5,0.86,0.84,0.63,0.5,0.84,0.74,0.69,0.53,0.88,0.77,0.75,0.53,0.89,0.76,0.69,0.51,0.87,0.64,0.62,0.51,0.85,0.68,0.58,0.48,0.86,0.75,0.51,0.5
"SVC.c10",61,0.85,0.74,0.56,0.51,0.82,0.83,0.64,0.5,0.89,0.53,0.99,0.53,0.87,0.76,0.61,0.55,0.86,0.73,0.75,0.5,0.88,0.73,0.73,0.51,0.84,0.79,0.8,0.51,0.87,0.62,0.52,0.52,0.87,0.8,0.51,0.53,0.85,0.59,0.58,0.5,0.87,0.82,0.5,0.5,0.87,0.64,0.53,0.51,0.84,0.67,0.7,0.5,0.86,0.68,0.64,0.5,0.84,0.79,0.69,0.53,0.88,0.7,0.75,0.53,0.89,0.71,0.69,0.51,0.87,0.61,0.62,0.51,0.85,0.82,0.58,0.48,0.86,0.61,0.51,0.5
"SVC.c30",61,0.9,0.6,0.53,0.53,0.86,0.81,0.63,0.5,0.91,0.55,0.99,0.54,0.89,0.82,0.58,0.55,0.89,0.68,0.77,0.49,0.9,0.6,0.7,0.5,0.87,0.95,0.81,0.53,0.9,0.56,0.5,0.51,0.89,0.64,0.5,0.53,0.89,0.5,0.55,0.48,0.89,0.73,0.52,0.51,0.9,0.57,0.57,0.52,0.87,0.8,0.74,0.51,0.9,0.65,0.69,0.52,0.88,0.76,0.72,0.52,0.91,0.57,0.78,0.52,0.9,0.67,0.78,0.53,0.9,0.45,0.53,0.55,0.9,0.64,0.59,0.47,0.89,0.67,0.52,0.49
"SVC.c50",61,0.93,0.68,0.56,0.5,0.89,0.82,0.67,0.49,0.93,0.53,0.99,0.54,0.91,0.74,0.58,0.5,0.91,0.76,0.76,0.47,0.92,0.71,0.57,0.5,0.89,0.74,0.72,0.54,0.92,0.53,0.5,0.46,0.92,0.74,0.56,0.5,0.91,0.58,0.6,0.46,0.91,0.81,0.56,0.51,0.93,0.49,0.53,0.52,0.89,0.72,0.75,0.52,0.93,0.73,0.68,0.51,0.91,0.61,0.71,0.51,0.93,0.58,0.65,0.48,0.93,0.63,0.81,0.53,0.92,0.57,0.51,0.55,0.92,0.66,0.59,0.48,0.91,0.77,0.51,0.48
"SVC.c80",61,0.95,0.72,0.59,0.47,0.92,0.86,0.68,0.49,0.94,0.48,0.99,0.54,0.93,0.82,0.56,0.49,0.92,0.64,0.72,0.47,0.94,0.61,0.61,0.5,0.91,0.83,0.7,0.53,0.94,0.52,0.5,0.47,0.93,0.85,0.58,0.48,0.93,0.62,0.61,0.48,0.93,0.79,0.53,0.47,0.94,0.53,0.52,0.49,0.92,0.71,0.76,0.52,0.95,0.66,0.65,0.52,0.93,0.67,0.72,0.53,0.95,0.63,0.55,0.48,0.96,0.64,0.84,0.49,0.93,0.61,0.52,0.54,0.93,0.58,0.56,0.48,0.94,0.81,0.54,0.47
"SVC.c100",61,0.96,0.68,0.59,0.47,0.93,0.78,0.68,0.49,0.94,0.59,0.99,0.54,0.94,0.68,0.57,0.48,0.93,0.78,0.71,0.47,0.95,0.71,0.6,0.5,0.92,0.69,0.7,0.5,0.94,0.52,0.5,0.48,0.94,0.84,0.57,0.46,0.94,0.67,0.6,0.49,0.95,0.78,0.51,0.48,0.95,0.58,0.53,0.52,0.93,0.66,0.75,0.52,0.96,0.74,0.65,0.53,0.94,0.79,0.72,0.53,0.95,0.68,0.65,0.49,0.97,0.7,0.86,0.5,0.94,0.69,0.52,0.49,0.94,0.65,0.56,0.49,0.95,0.7,0.53,0.48
"RandomForest",61,1,0.61,0.68,0.5,1,0.52,0.54,0.5,1,0.73,0.99,0.51,1,0.54,0.62,0.51,1,0.61,0.55,0.5,1,0.6,0.55,0.51,1,0.59,0.59,0.52,1,0.6,0.66,0.51,1,0.58,0.55,0.53,1,0.65,0.72,0.51,1,0.61,0.41,0.51,1,0.56,0.47,0.51,1,0.47,0.57,0.53,1,0.59,0.59,0.51,1,0.53,0.53,0.51,1,0.57,0.53,0.51,1,0.59,0.65,0.51,1,0.68,0.85,0.51,1,0.57,0.52,0.51,1,0.63,0.75,0.52
"Logistic",65,1,0.53,0.61,0.57,1,0.57,0.58,0.56,1,0.55,0.61,0.55,1,0.62,0.56,0.56,1,0.6,0.6,0.53,1,0.59,0.61,0.57,1,0.63,0.57,0.56,1,0.5,0.55,0.54,1,0.54,0.56,0.55,1,0.53,0.57,0.53,1,0.54,0.68,0.56,1,0.74,0.56,0.6,1,0.59,0.58,0.52,1,0.59,0.56,0.6,1,0.67,0.55,0.56,1,0.6,0.59,0.56,1,0.53,0.65,0.59,1,0.63,0.61,0.56,1,0.61,0.6,0.55,1,0.53,0.67,0.52
"SVC.c5",65,0.85,0.7,0.58,0.5,0.82,0.66,0.64,0.52,0.89,0.56,0.94,0.51,0.87,0.75,0.57,0.54,0.86,0.83,0.76,0.49,0.88,0.68,0.67,0.49,0.84,0.71,0.66,0.5,0.87,0.71,0.5,0.51,0.88,0.71,0.57,0.48,0.84,0.7,0.57,0.5,0.87,0.76,0.64,0.5,0.87,0.75,0.54,0.5,0.84,0.65,0.68,0.51,0.86,0.87,0.58,0.54,0.83,0.68,0.63,0.54,0.89,0.75,0.51,0.47,0.88,0.77,0.53,0.49,0.87,0.67,0.56,0.5,0.85,0.68,0.58,0.48,0.85,0.74,0.52,0.51
"SVC.c10",65,0.85,0.78,0.57,0.5,0.82,0.83,0.64,0.52,0.89,0.54,0.94,0.51,0.87,0.71,0.57,0.54,0.86,0.76,0.76,0.49,0.88,0.78,0.67,0.49,0.84,0.78,0.66,0.5,0.87,0.75,0.5,0.51,0.88,0.82,0.57,0.48,0.84,0.62,0.54,0.51,0.87,0.83,0.64,0.5,0.87,0.76,0.54,0.5,0.84,0.64,0.68,0.51,0.86,0.71,0.58,0.54,0.83,0.73,0.63,0.54,0.89,0.74,0.51,0.47,0.88,0.72,0.54,0.49,0.87,0.65,0.56,0.5,0.85,0.84,0.58,0.48,0.85,0.65,0.52,0.51
"SVC.c30",65,0.91,0.66,0.53,0.48,0.86,0.8,0.63,0.5,0.92,0.56,0.96,0.47,0.89,0.82,0.54,0.54,0.89,0.74,0.76,0.48,0.91,0.72,0.56,0.49,0.88,0.94,0.67,0.48,0.9,0.64,0.5,0.48,0.91,0.63,0.59,0.46,0.89,0.59,0.55,0.48,0.9,0.74,0.62,0.49,0.91,0.68,0.57,0.5,0.88,0.76,0.72,0.51,0.91,0.74,0.63,0.52,0.89,0.82,0.64,0.53,0.92,0.59,0.5,0.47,0.91,0.68,0.54,0.47,0.92,0.5,0.61,0.52,0.9,0.8,0.56,0.47,0.89,0.77,0.5,0.49
"SVC.c50",65,0.94,0.71,0.55,0.47,0.89,0.69,0.68,0.49,0.92,0.52,0.99,0.46,0.91,0.85,0.5,0.53,0.91,0.85,0.73,0.46,0.92,0.81,0.53,0.5,0.9,0.78,0.57,0.48,0.92,0.68,0.51,0.47,0.93,0.66,0.56,0.46,0.91,0.75,0.59,0.46,0.93,0.81,0.66,0.48,0.94,0.65,0.52,0.53,0.91,0.63,0.65,0.51,0.93,0.85,0.57,0.51,0.91,0.58,0.52,0.52,0.95,0.59,0.49,0.47,0.94,0.67,0.53,0.47,0.93,0.58,0.66,0.46,0.92,0.8,0.53,0.48,0.92,0.86,0.53,0.48
"SVC.c80",65,0.97,0.78,0.59,0.46,0.92,0.72,0.68,0.49,0.93,0.57,0.99,0.47,0.93,0.87,0.47,0.53,0.93,0.7,0.61,0.47,0.94,0.66,0.57,0.51,0.93,0.78,0.5,0.49,0.94,0.63,0.51,0.48,0.95,0.82,0.53,0.46,0.93,0.72,0.6,0.47,0.96,0.81,0.72,0.48,0.95,0.66,0.53,0.55,0.93,0.63,0.51,0.5,0.96,0.72,0.54,0.51,0.93,0.68,0.65,0.54,0.95,0.66,0.5,0.49,0.97,0.65,0.55,0.46,0.94,0.6,0.66,0.46,0.93,0.7,0.5,0.5,0.94,0.8,0.55,0.49
"SVC.c100",65,0.97,0.66,0.59,0.47,0.94,0.64,0.67,0.49,0.94,0.71,0.98,0.46,0.94,0.81,0.49,0.52,0.93,0.83,0.59,0.48,0.94,0.8,0.59,0.5,0.93,0.73,0.5,0.49,0.95,0.64,0.51,0.48,0.96,0.77,0.5,0.48,0.95,0.78,0.58,0.48,0.97,0.79,0.69,0.52,0.96,0.72,0.53,0.56,0.93,0.58,0.52,0.5,0.97,0.77,0.49,0.52,0.94,0.79,0.67,0.54,0.95,0.72,0.5,0.5,0.98,0.68,0.55,0.46,0.93,0.7,0.68,0.47,0.94,0.83,0.53,0.5,0.95,0.65,0.56,0.48
"RandomForest",65,1,0.61,0.67,0.5,1,0.52,0.54,0.5,1,0.7,0.99,0.51,1,0.52,0.57,0.51,1,0.59,0.55,0.5,1,0.6,0.57,0.51,1,0.59,0.6,0.51,1,0.56,0.67,0.51,1,0.61,0.54,0.51,1,0.65,0.73,0.5,1,0.58,0.4,0.5,1,0.53,0.48,0.51,1,0.48,0.54,0.51,1,0.57,0.59,0.51,1,0.48,0.52,0.5,1,0.6,0.52,0.51,1,0.58,0.64,0.51,1,0.67,0.86,0.51,1,0.53,0.52,0.51,1,0.6,0.76,0.52
"Logistic",69,1,0.53,0.61,0.57,1,0.57,0.58,0.56,1,0.55,0.61,0.55,1,0.62,0.56,0.56,1,0.6,0.6,0.53,1,0.59,0.61,0.57,1,0.63,0.57,0.56,1,0.5,0.55,0.54,1,0.54,0.56,0.55,1,0.53,0.57,0.53,1,0.54,0.68,0.56,1,0.74,0.56,0.6,1,0.59,0.58,0.52,1,0.59,0.56,0.6,1,0.67,0.55,0.56,1,0.6,0.59,0.56,1,0.53,0.65,0.59,1,0.63,0.61,0.56,1,0.61,0.6,0.55,1,0.53,0.67,0.52
"SVC.c5",69,0.85,0.76,0.59,0.5,0.83,0.65,0.56,0.51,0.9,0.65,0.93,0.51,0.89,0.74,0.65,0.59,0.88,0.78,0.73,0.47,0.89,0.69,0.56,0.56,0.85,0.71,0.55,0.52,0.89,0.75,0.52,0.57,0.88,0.7,0.57,0.48,0.85,0.74,0.62,0.51,0.89,0.77,0.6,0.54,0.89,0.74,0.58,0.58,0.86,0.63,0.69,0.55,0.87,0.87,0.51,0.51,0.84,0.7,0.49,0.5,0.89,0.76,0.51,0.49,0.88,0.73,0.73,0.52,0.88,0.71,0.63,0.5,0.86,0.66,0.53,0.53,0.86,0.72,0.55,0.49
"SVC.c10",69,0.86,0.77,0.56,0.5,0.83,0.78,0.57,0.51,0.9,0.56,0.93,0.51,0.89,0.74,0.65,0.59,0.88,0.77,0.73,0.47,0.89,0.71,0.56,0.56,0.85,0.79,0.55,0.52,0.89,0.8,0.52,0.57,0.88,0.82,0.57,0.48,0.86,0.68,0.61,0.5,0.89,0.78,0.6,0.54,0.89,0.76,0.58,0.58,0.86,0.62,0.69,0.55,0.87,0.74,0.51,0.51,0.84,0.77,0.49,0.5,0.89,0.71,0.51,0.49,0.88,0.72,0.73,0.52,0.88,0.65,0.63,0.5,0.87,0.78,0.53,0.54,0.86,0.68,0.55,0.49
